title,company,location,salary_min,salary_max,avg_salary,description,created,category,skill_count
Data Analyst,InTouch CX,"hyderabad, telangana",500000.0,1000000.0,750000.0,"About the Job We are looking for a Data Analyst who is a self-starter with the ability to work in a fast-paced, performance driven environment. The incumbent will be responsible for the analysis and reporting of operational related data in an on-going effort to increase visibility for program performance. As Data Analyst, You Will… Collect, analyze, evaluate and report data in order to increase visibility into performance for all lines of business within 24-7 Intouch Complete projects and ad-ho…",2026-01-16T00:31:50Z,IT Jobs,0
Data Analyst,Careernet,india,500000.0,1000000.0,750000.0,"Job Description Key Skills: Data Analyst, Data Analysis, Python, Product Owner, SQL Roles and Responsibilities: Analyze and interpret complex datasets related to marketing performance and customer engagement. Collaborate with Product Owners to understand business objectives and translate them into data-driven insights. Use Python and ANSI-SQL for data extraction, manipulation, and advanced analysis. Merge data from multiple source systems while ensuring data accuracy and consistency. Clean, tra…",2026-04-05T03:36:04Z,IT Jobs,2
Data analyst,RECEX,"kolkata, west bengal",500000.0,1000000.0,750000.0,"Job Description: Job Title: Data Analyst Job Description: We are looking for a skilled Data Analyst to collect, analyze, and interpret large datasets to help drive business decisions. The ideal candidate will have strong analytical skills, attention to detail, and experience with data visualization tools. Key Responsibilities: Analyze data to identify trends and insights. Create dashboards and reports for internal stakeholders. Collaborate with teams to understand data needs. Ensure data accura…",2026-05-14T02:27:02Z,IT Jobs,1
Data Analyst,Fatakpay,india,800000.0,1500000.0,1150000.0,"Job Title : Data Analyst-Fintech Job Description : We are seeking a highly motivated and detail-oriented Data Analyst with 2 to 4 years of work experience to join our team. The ideal candidate will have a strong analytical mindset, excellent problem-solving skills, and a passion for transforming data into actionable insights. In this role, you will play a pivotal role in gathering, analyzing, and interpreting data to support informed decision-making and drive business growth. Key Responsibiliti…",2024-12-07T13:03:54Z,IT Jobs,1
Data analyst,Cars24,"pune, maharashtra",500000.0,1000000.0,750000.0,"Job Description: We are seeking a talented and motivated Data Analyst to join our team. The ideal candidate will have a passion for data, a strong analytical mindset, and the ability to derive insights that drive business decisions. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting large datasets to provide actionable insights to various stakeholders across the organization. Key Responsibilities: Data Collection and Cleaning: Collect and clean data from vari…",2026-07-02T07:16:47Z,IT Jobs,0
DATA ANALYST,Connect Pro Srl,"ajmer, rajasthan",500000.0,1000000.0,750000.0,"Posizione - Data Analyst Lavora con noi Data Analyst Id Richiesta: 1002 Sede: Milano Data Analyst È responsabile della raccolta, analisi e interpretazione dei dati aziendali per guidare decisioni strategiche e migliorare le performance. Ha il compito di trasformare dati complessi in insight utili per il business, collaborando con diversi dipartimenti per ottimizzare le attività aziendali. Responsabilità Principali Raccolta e analisi dei dati da diverse fonti aziendali. Creazione di report e das…",2026-07-23T15:54:18Z,IT Jobs,0
Data analyst,Cars24 Services Private Limited,"pune, maharashtra",500000.0,1000000.0,750000.0,"Job description Job Description: We are seeking a talented and motivated Data Analyst to join our team. The ideal candidate will have a passion for data, a strong analytical mindset, and the ability to derive insights that drive business decisions. As a Data Analyst, you will be responsible for collecting, analyzing, and interpreting large datasets to provide actionable insights to various stakeholders across the organization. Key Responsibilities: Data Collection and Cleaning: Collect and clea…",2026-06-11T06:50:59Z,IT Jobs,0
Data Analyst,RECEX,"vasai, thane",500000.0,1000000.0,750000.0,"Job Description: *]:pointer-events-auto R6Vx5W_threadScrollVars scroll-mb-[calc(var(scroll-root-safe-area-inset-bottom,0px)var(thread-response-height))] scroll-mt-[calc(var(header-height)min(200px,max(70px,20svh)))]"" data-scroll-anchor=""false"" data-testid=""conversation-turn-2"" data-turn=""assistant"" data-turn-id=""request-WEB:a09f2817-6254-4ccc-9fb6-39e39dbcb8e3-0"" data-turn-id-container=""request-WEB:a09f2817-6254-4ccc-9fb6-39e39dbcb8e3-0"" dir=""auto""> Job Description – Data Analyst Position: Data…",2026-05-27T02:25:11Z,IT Jobs,0
Data Analyst,Malaysian Global Innovation and Creativity Centre,india,500000.0,1000000.0,750000.0,"MaGIC Technology and Product team is looking for a data analyst to help expand and improve data on startups, investors, and founders in the ASEAN region. As part of the data team on our Startup Database product, you will assist in maintaining the accuracy of information on startups and investors, and continuously update our repository with latest publicly available data on the same. The job offers a high degree of autonomy and will also see you playing a leading role in the analysis of the data…",2019-06-05T21:12:29Z,IT Jobs,0
Data Analyst,In Touch,"hyderabad, telangana",500000.0,1000000.0,750000.0,"About the Job Join us in transforming the perception of customer service! We are seeking a dedicated Data Analyst to analyze and report on operational data, enhancing program performance visibility. This role is vital in contributing to various projects and performing ad-hoc analyses, providing timely insights that support strategic decision-making. If you are passionate about data and eager to make a significant impact, we invite you to apply! As Data Analyst, You Will… Collect and organize la…",2026-01-16T00:45:45Z,IT Jobs,0
Data Analyst,Techwave Consulting India Private,india,500000.0,1000000.0,750000.0,"Techwave , we are always in an exercise to foster a culture of growth, and inclusivity. We ensure whoever is associated with the brand is being challenged at every step and is provided with all the necessary opportunities to excel in life. People are at the core of everything we do. Who are we? Techwave is a leading global IT and engineering services and solutions company revolutionizing digital transformations. We believe in enabling clients to maximize the potential and achieve a greater mark…",2026-05-10T02:24:12Z,IT Jobs,1
